dataset,algorithm,n,avg_microseconds,avg_char_comparisons,sorted
nearly_sorted,quick_sort,1900,113.14,27007.00,true
nearly_sorted,merge_sort,1900,69.57,21024.00,true
nearly_sorted,ternary_string_quick_sort,1900,47.75,17080.00,true
nearly_sorted,string_merge_sort_lcp,1900,1681.12,7772.00,true
nearly_sorted,msd_radix_sort,1900,134.43,9150.00,true
nearly_sorted,msd_radix_sort_with_cutoff,1900,37.03,11007.00,true
nearly_sorted,quick_sort,2000,120.64,28549.00,true
nearly_sorted,merge_sort,2000,74.28,22336.00,true
nearly_sorted,ternary_string_quick_sort,2000,49.21,18180.00,true
nearly_sorted,string_merge_sort_lcp,2000,1807.95,8183.00,true
nearly_sorted,msd_radix_sort,2000,142.60,9638.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2000,38.77,11552.00,true
nearly_sorted,quick_sort,2100,127.41,29818.00,true
nearly_sorted,merge_sort,2100,77.73,23811.00,true
nearly_sorted,ternary_string_quick_sort,2100,52.20,19097.00,true
nearly_sorted,string_merge_sort_lcp,2100,1864.88,8724.00,true
nearly_sorted,msd_radix_sort,2100,149.40,10132.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2100,41.46,12102.00,true
nearly_sorted,quick_sort,2200,131.53,31121.00,true
nearly_sorted,merge_sort,2200,80.47,24908.00,true
nearly_sorted,ternary_string_quick_sort,2200,57.37,20100.00,true
nearly_sorted,string_merge_sort_lcp,2200,2382.99,9066.00,true
